epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.44122,0.98191,2.67957,1.31624,0.56904,0.85,0.80134,0.61153,1.63323,1.10951,1.37882,0,0,0
2,2.67621,1.02669,3.27748,1.38047,0.56931,0.85,0.84136,0.63596,1.63883,1.09236,1.37812,1.1311e-06,1.1311e-06,1.1311e-06
3,3.77834,1.4085,2.72884,1.81236,0.56127,0.85,0.84184,0.63639,1.65204,1.09322,1.37921,2.14438e-06,2.14438e-06,2.14438e-06
4,4.92715,1.5195,3.0215,2.09595,0.56143,0.85,0.80085,0.61157,1.65724,1.08424,1.3798,3.03986e-06,3.03986e-06,3.03986e-06
5,6.14533,1.48014,3.24938,1.95142,0.56143,0.85,0.80085,0.61157,1.65724,1.08424,1.3798,3.81752e-06,3.81752e-06,3.81752e-06
6,7.25201,1.15786,2.80684,1.47227,0.55122,0.85,0.80801,0.60383,1.63476,1.07836,1.35697,4.47737e-06,4.47737e-06,4.47737e-06
7,8.58031,1.17997,2.48995,1.4371,0.55122,0.85,0.80801,0.60383,1.63476,1.07836,1.35697,5.01942e-06,5.01942e-06,5.01942e-06
8,9.7368,1.01858,2.60841,1.25625,0.61515,0.93333,0.87286,0.60942,1.63468,1.07742,1.35106,5.44365e-06,5.44365e-06,5.44365e-06
9,11.1369,1.1257,3.8295,1.47631,0.61515,0.93333,0.87286,0.60942,1.63468,1.07742,1.35106,5.75008e-06,5.75008e-06,5.75008e-06
10,12.2524,1.0125,2.61515,1.26468,0.57692,0.85,0.8131,0.60789,1.61675,1.06357,1.33649,5.9387e-06,5.9387e-06,5.9387e-06
11,13.3261,1.04648,1.6225,1.37806,0.57692,0.85,0.8131,0.60789,1.61675,1.06357,1.33649,6.0095e-06,6.0095e-06,6.0095e-06
12,14.5056,0.96142,1.42022,1.29689,0.57692,0.85,0.8131,0.60789,1.61675,1.06357,1.33649,5.9625e-06,5.9625e-06,5.9625e-06
13,15.6447,0.9827,2.22878,1.28541,0.60196,0.85,0.85509,0.63418,1.60023,1.07169,1.33068,5.79768e-06,5.79768e-06,5.79768e-06
14,16.7353,0.76712,1.81542,1.16114,0.60196,0.85,0.85509,0.63418,1.60023,1.07169,1.33068,5.51505e-06,5.51505e-06,5.51505e-06
15,17.8124,1.06719,2.2642,1.41594,0.60196,0.85,0.85509,0.63418,1.60023,1.07169,1.33068,5.11462e-06,5.11462e-06,5.11462e-06
16,18.9174,0.93616,1.59394,1.27817,0.58351,0.85,0.8547,0.6359,1.56858,1.07983,1.31433,4.59638e-06,4.59638e-06,4.59638e-06
17,20.1446,0.77823,1.68286,1.19864,0.58351,0.85,0.8547,0.6359,1.56858,1.07983,1.31433,3.96032e-06,3.96032e-06,3.96032e-06
18,21.2254,0.84654,1.86976,1.2672,0.58351,0.85,0.8547,0.6359,1.56858,1.07983,1.31433,3.20646e-06,3.20646e-06,3.20646e-06
19,22.288,0.8816,1.65722,1.05236,0.58351,0.85,0.8547,0.6359,1.56858,1.07983,1.31433,2.33478e-06,2.33478e-06,2.33478e-06
20,23.3624,0.90378,1.81562,1.14847,0.58027,0.85,0.85629,0.64052,1.53512,1.10399,1.30285,1.3453e-06,1.3453e-06,1.3453e-06
