epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.457,1.46996,2.35237,1.57304,0.70177,0.83159,0.7521,0.44013,1.28272,2.52181,1.5489,0.000473839,0.000473839,0.000473839
2,219.568,1.324,1.29934,1.48094,0.80542,0.90584,0.87501,0.52274,1.23213,1.08649,1.30553,0.000918817,0.000918817,0.000918817
3,309.438,1.27623,1.18581,1.41812,0.81188,0.89043,0.89792,0.49448,1.6071,1.18028,1.56792,0.00133236,0.00133236,0.00133236
4,397.153,1.24277,1.13056,1.39017,0.77752,0.87963,0.8743,0.53742,1.17851,0.99505,1.31606,0.00128753,0.00128753,0.00128753
5,485.398,1.23891,1.10138,1.37008,0.83706,0.9069,0.9026,0.56337,1.31985,0.99944,1.33427,0.00124037,0.00124037,0.00124037
6,567.153,1.24873,1.07392,1.37649,0.79778,0.91532,0.90317,0.59322,1.09237,0.89684,1.22281,0.00119322,0.00119322,0.00119322
7,643.77,1.18986,1.03079,1.33727,0.78413,0.90626,0.88841,0.58174,1.09654,0.88471,1.23602,0.00114606,0.00114606,0.00114606
8,720.768,1.17486,1.01147,1.31694,0.80992,0.91017,0.89835,0.57218,1.17961,0.96847,1.32158,0.0010989,0.0010989,0.0010989
9,796.237,1.15094,0.96087,1.29322,0.81303,0.9145,0.90577,0.59125,1.09391,0.84056,1.23354,0.00105174,0.00105174,0.00105174
10,875.054,1.14318,0.94208,1.28286,0.81642,0.92025,0.89488,0.60344,1.04706,0.80218,1.20471,0.00100459,0.00100459,0.00100459
11,949.5,1.1314,0.91805,1.29045,0.7951,0.93463,0.91347,0.59851,1.0762,0.78472,1.23559,0.00095743,0.00095743,0.00095743
12,1023.05,1.12586,0.91008,1.28347,0.82183,0.92361,0.91099,0.62031,1.04438,0.76195,1.19162,0.000910273,0.000910273,0.000910273
13,1096.46,1.11057,0.88264,1.27259,0.83973,0.91098,0.90079,0.59827,1.11827,0.76119,1.21825,0.000863116,0.000863116,0.000863116
14,1182.73,1.09265,0.86887,1.25376,0.84766,0.90843,0.91595,0.63469,1.01558,0.74133,1.18564,0.000815959,0.000815959,0.000815959
15,1270.88,1.07846,0.86976,1.2377,0.83626,0.91091,0.8955,0.6226,1.0144,0.8331,1.18002,0.000768802,0.000768802,0.000768802
16,1353.78,1.08667,0.85197,1.24412,0.82271,0.88929,0.88998,0.60697,1.03,0.83212,1.18416,0.000721645,0.000721645,0.000721645
17,1427.6,1.07702,0.84996,1.24111,0.85882,0.90032,0.91206,0.62691,1.00515,0.77406,1.16664,0.000674488,0.000674488,0.000674488
18,1502.3,1.05688,0.82877,1.22346,0.83463,0.91968,0.90679,0.62318,1.01286,0.76332,1.17704,0.000627331,0.000627331,0.000627331
19,1579.52,1.0507,0.82164,1.22291,0.82304,0.9145,0.91561,0.6349,1.01276,0.69916,1.17245,0.000580174,0.000580174,0.000580174
20,1657.2,1.04681,0.81502,1.22434,0.84813,0.89577,0.9141,0.62534,1.01944,0.69459,1.19957,0.000533017,0.000533017,0.000533017
21,1730.84,1.07869,0.8223,1.24453,0.83063,0.91813,0.91696,0.61198,1.10093,0.72706,1.22717,0.00048586,0.00048586,0.00048586
22,1803.05,1.06477,0.78804,1.24761,0.8395,0.92507,0.91982,0.62122,1.02557,0.71436,1.20257,0.000438703,0.000438703,0.000438703
23,1875.1,1.03851,0.75692,1.22322,0.84074,0.90656,0.91766,0.62478,1.04357,0.68216,1.21368,0.000391546,0.000391546,0.000391546
24,1945.8,1.02737,0.75492,1.21635,0.85522,0.86846,0.91827,0.61503,1.02614,0.69865,1.21017,0.000344389,0.000344389,0.000344389
25,2016.64,1.0233,0.74244,1.20864,0.86623,0.88928,0.91527,0.6179,1.01867,0.77569,1.20443,0.000297232,0.000297232,0.000297232
26,2086.57,1.01599,0.73233,1.20315,0.84207,0.91567,0.91738,0.63495,1.01682,0.67068,1.20125,0.000250075,0.000250075,0.000250075
27,2157.03,0.9983,0.71593,1.20389,0.84791,0.92244,0.91267,0.63724,1.00482,0.67957,1.19088,0.000202918,0.000202918,0.000202918
28,2227.6,1.00438,0.72285,1.20209,0.83342,0.92919,0.91238,0.63655,1.01285,0.68658,1.19329,0.000155761,0.000155761,0.000155761
29,2298.9,0.98726,0.71017,1.19079,0.84445,0.92574,0.91742,0.64415,0.98741,0.66884,1.178,0.000108604,0.000108604,0.000108604
30,2369.47,0.97589,0.70734,1.17927,0.83026,0.92595,0.91209,0.63638,1.00014,0.67519,1.18596,6.1447e-05,6.1447e-05,6.1447e-05
